ime,category
"Glis glis",loir
antagonist,adversary
"Allium triquetrum","three-cornered leek"
actinon,actinoid
"Tragelaphus angasi",nyala
medusan,medusa
"Pseudococcus comstocki","Comstock mealybug"
nightstick,truncheon
radius,spoke
"pubococcygeus exercises","Kegel exercises"
invariableness,invariability
pilau,pilaf
"Zea mays",corn
"room decorator","interior designer"
pilaw,pilaf
"Larus marinus","black-backed gull"
osculator,kisser
solidifying,hardening
"nerve deafness","sensorineural hearing loss"
commutation,substitution
snowbird,fieldfare
snowbird,"snow bunting"
snowbird,junco
lethality,deadliness
detribalisation,detribalization
"public utility company",utility
world-beater,king
"rock partridge","Greek partridge"
hurting,pain
nominal,"noun phrase"
"water sprite","floating fern"
"beta-adrenergic receptor","beta receptor"
cobblestone,cobble
"itchy feet",wanderlust
"II Thessalonians","Second Epistle of Paul the Apostle to the Thessalonians"
strip,airstrip
strip,"comic strip"
"authorized stock","authorized shares"
"drilling rig","drill rig"
stria,band
"signal/noise ratio","signal-to-noise ratio"
"taffy apple","candied apple"
"Malus fusca","Oregon crab apple"
furring,"furring strip"
"business data processing","administrative data processing"
"spiritual rebirth",conversion
sybarite,voluptuary
piles,hemorrhoid
piles,tons
"field garlic","crow garlic"
"Ilex cornuta","Chinese holly"
pillage,loot
pillage,plundering
radish,"radish plant"
informant,witness
tower,column
tower,tugboat
pronunciamento,manifesto
"genipap fruit",genipap
sheepcote,fold
"on-line database","electronic database"
"Senecio cineraria","dusty miller"
"Munchausen syndrome","Munchausen's syndrome"
breath,hint
"bush league","minor league"
"white ant",termite
"brandy nose",rhinophyma
"Prunus persica",peach
"black tie","dinner jacket"
pursual,pursuit
toupe,toupee
go-cart,walker
go-cart,handcart
go-cart,"baby buggy"
"storage warehouse",warehouse
anxiousness,anxiety
icterus,jaundice
napkin,diaper
"kiwi vine","Chinese gooseberry"
submaxilla,"lower jaw"
"obtuse-angled triangle","obtuse triangle"
hyperaemia,hyperemia
loggerhead,dunce
insulation,"insulating material"
"white ash","snow gum"
rector,curate
"hoarded wealth",treasure
"Camassia scilloides","wild hyacinth"
protohemin,hemin
destruction,end
joewood,barbasco
"Eucalyptus citriodora","lemon-scented gum"
stoolie,fink
"dagger fern","Christmas fern"
laughingstock,butt
"Hakea leucoptera",needlewood
"Pitot tube","Pitot-static tube"
strapado,strappado
"Liparis loeselii","fen orchid"
vaporiser,vaporizer
"straight arrow","square shooter"
"Bryonia alba","white bryony"
"Indian rice","wild rice"
"Dianthus chinensis heddewigii","Japanese pink"
"sports coat",blazer
"stone pit",pit
"muscle fiber","muscle cell"
pursuit,avocation
pursuit,pastime
"Taraktogenos kurzii",chaulmoogra
"worsted yarn",worsted
"Limnodium spongia","American frogbit"
spouter,chatterer
"morale booster","morale building"
"dry mop",dustmop
"Agave sisalana",sisal
"trained nurse","graduate nurse"
otologist,"ear doctor"
"Easter lily vine","Nepal trumpet flower"
combining,combination
gipsy,itinerant
"Pycnanthemum virginianum","basil mint"
"Ulmus laevis","water elm"
"tree poppy","bush poppy"
"Calochortus elegans","star tulip"
"indoor garden",conservatory
"Agrostis palustris","creeping bent"
"Bright's disease",nephritis
"Musa acuminata","dwarf banana"
afternoon,"good afternoon"
drier,desiccant
drier,dryer
swamphen,gallinule
"Macrodactylus subspinosus","rose chafer"
"Pseudotsuga menziesii","green douglas fir"
headfish,"ocean sunfish"
"black cherry tree","black cherry"
jambon,ham
"Senna alexandrina","Alexandria senna"
"Larus argentatus","herring gull"
theoriser,theorist
"square measure","area unit"
eightsome,octet
"lover's knot","love knot"
"arteria cerebri","cerebral artery"
"tea parlour",teashop
"Lysimachia clethroides Duby","gooseneck loosestrife"
inmate,inpatient
inmate,convict
"Crataegus oxyacantha","evergreen thorn"
enterpriser,entrepreneur
"bonnet shark",shovelhead
"presidential term",presidency
subsumption,"minor premise"
firedrake,dragon
allelomorph,allele
"Felicia bergeriana","kingfisher daisy"
"Solea lascaris","lemon sole"
"Caryota urens","wine palm"
"clipper ship",clipper
"ethics panel","ethics committee"
"Manta birostris","Atlantic manta"
hadji,hajji
"hickory tree",hickory
pie-dog,"pariah dog"
"representative sampling","stratified sampling"
grumpiness,crankiness
"Adenanthera pavonina",coralwood
show-off,exhibitionist
mesoblast,mesoderm
"potassium hydrogen carbonate","potassium bicarbonate"
"vote counter",teller
"Conuropsis carolinensis","Carolina parakeet"
"Ostrya carpinifolia","Old World hop hornbeam"
"Elagatis bipinnulata","rainbow runner"
"infantile paralysis",poliomyelitis
"rabbit hole","rabbit burrow"
"Rhynchoelaps australis","Australian coral snake"
signalisation,signalization
sentience,awareness
sentience,sense
"vena maxillaris","maxillary vein"
"accordance of rights",accordance
"consecutive operation","serial operation"
"Primula vulgaris","English primrose"
sentiency,sense
disinclination,reluctance
"reserve fund","reserve account"
confederate,accomplice
"arteria temporalis posterior","posterior temporal artery"
"theater in the round","arena theater"
"solid food",food
litter,"bedding material"
"sedge wren","sedge warbler"
"hunting and gathering society","hunting and gathering tribe"
twain,couple
"muscle fibre","muscle cell"
"contract of adhesion","adhesion contract"
"spackling compound",spackle
"pine mouse","pine vole"
"bacillary dysentery",shigellosis
"shepherd's crook",crook
"figure of speech",trope
pea-souper,"pea soup"
sestet,sextet
"nonvascular plant",bryophyte
expunging,expunction
"copper color",copper
"painted terrapin","painted turtle"
"natural scientist",naturalist
"Persian Gulf illness","Gulf War syndrome"
"royal velvet plant","velvet plant"
"Hibiscus syriacus","rose of Sharon"
"Ranunculus bulbosus","common buttercup"
"conversion hysteria","conversion disorder"
"garland crab","American crab apple"
featheriness,downiness
mugful,mug
"os frontale","frontal bone"
strangeness,unfamiliarity
strangeness,foreignness
"Cleome hassleriana","spider flower"
"Gavialis gangeticus",gavial
"marsh trefoil","water shamrock"
cryopathy,frostbite
"office staff",office
"bigtooth aspen","Canadian aspen"
flashbulb,flash
"industrial psychology","applied psychology"
budgerygah,budgerigar
beta-lactamase,penicillinase
sandarach,sandarac
cipher,nothing
"Himantopus novae-zelandiae",kaki
"consulting company","consulting firm"
"moving-picture show",movie
fosterage,fostering
fosterage,breeding
"jenny ass",jennet
clumsiness,awkwardness
"Guillaume de Grimoard","Urban V"
inequity,unfairness
"Citroncirus webberi",citrange
"the like",like
"Sansevieria trifasciata","mother-in-law's tongue"
abidance,conformity
abidance,residency
"two-winged insects","dipterous insect"
"robot pilot",autopilot
"due north",north
silvertip,grizzly
confederacy,confederation
confederacy,conspiracy
"alveolar point",prosthion
hawsepipe,hawse
"acoustic meatus","auditory meatus"
allograft,homograft
asshole,arse
"wearing away",erosion
"angle iron","angle bracket"
absorption,assimilation
absorption,concentration
absorption,preoccupation
descensus,prolapse
theorizer,theorist
"Iris germanica florentina","Florentine iris"
efflorescence,flower
efflorescence,rash
efflorescence,blossoming
needle,"acerate leaf"
needle,"phonograph needle"
"wood laurel","spurge laurel"
"wood laurel","mountain laurel"
"geisha girl",geisha
"sulfur bottom","blue whale"
ash-bin,ashcan
tranquilliser,tranquilizer
"software product","software package"
"Ceiba pentandra",kapok
"nest egg",savings
medication,medicine
defining,shaping
vagabondage,wandering
"baby's bed","baby bed"
"vegetable sponge",loofah
equalitarian,egalitarian
megacephaly,macrocephaly
"Chionochloa conspicua",toetoe
noncompliance,disobedience
perversity,contrariness
"Cetraria islandica","Iceland moss"
"nevus flammeus","port-wine stain"
"tumble drier",tumble-dryer
chive,chives
"Leontocebus rosalia","silky tamarin"
electromagnetics,electromagnetism
dress,attire
dress,apparel
"head ache",headache
"reef whitetip shark","whitetip shark"
isomerisation,isomerization
"flash butt welding","flash welding"
"golden crownbeard","cowpen daisy"
"Morchella esculenta","common morel"
sharia,shariah
"rising prices",inflation
"valuation account","valuation reserve"
"chestnut canker","chestnut blight"
chips,"french fries"
"soft-shoe dancing",soft-shoe
"legal fraud","constructive fraud"
"basket spikemoss","meadow spikemoss"
shove-halfpenny,"shovel board"
"tissue paper",tissue
chimp,chimpanzee
paperhanging,papering
echography,sonography
china,chinaware
"Lithospermum caroliniense",puccoon
reification,hypostatization
reification,depersonalization
"scratch awl",scriber
presenter,donor
"musculus sartorius",sartorius
sharer,partaker
"Equus caballus gomelini",tarpan
astronavigation,"celestial navigation"
"verbal description",description
troupe,company
tenderheartedness,tenderness
"cartridge clip","cartridge holder"
"crude oil",petroleum
"great saphenous vein","long saphenous vein"
"English bean","broad bean"
gonorrhoea,gonorrhea
boloney,baloney
"mass deficiency","mass defect"
"silver-leaved nightshade",trompillo
forecast,prognosis
chill,frisson
"ritual killing",sacrifice
"Salix arctica","arctic willow"
"European nut pine","stone pine"
qintar,qindarka
tornado,crack
myelinisation,myelinization
"Pinus strobus","American white pine"
arriver,arrival
snigger,snicker
"fashion model",mannequin
"great toe","big toe"
sharpy,"eager beaver"
sharpy,cardsharp
cryptophyte,cryptomonad
"chocolate tree",cacao
hyperpiesis,"essential hypertension"
"bull nettle","horse nettle"
hyperpiesia,"essential hypertension"
"feature article",feature
"electric charge",charge
"auricula atrii",auricle
"removal firm",mover
revise,revision
standstill,deadlock
standstill,stand
"recurrent event","periodic event"
knife-handle,"razor clam"
"public figure",name
rough-and-tumble,hassle
lounger,dallier
lounger,recliner
spoonflower,yautia
"Idria columnaris","boojum tree"
dreck,schlock
chief,head
chief,foreman
chief,headman
"nonfluent aphasia","motor aphasia"
dream,ambition
dream,"pipe dream"
madrepore,"stony coral"
"washing soda","sodium carbonate"
"Cistothorus platensis","sedge wren"
"Kekule formula","benzene formula"
"proportional sampling","stratified sampling"
"Onobrychis viciaefolia",sainfoin
"human foot",foot
trough,gutter
trough,bowl
trough,"public treasury"
trough,manger
useableness,serviceability
"table-tennis bat","table-tennis racquet"
"maintenance man",repairman
chick,dame
pearler,"pearl diver"
"rhythm section","percussion section"
address,savoir-faire
"stock list",inventory
craven,poltroon
"Chloris gayana","Rhodes grass"
smotherer,stifler
outflow,escape
outflow,spring
"Euphorbia heterophylla","Japanese poinsettia"
"linden tree",linden
"mortise-and-tenon joint","mortise joint"
"Conocarpus erectus","button tree"
"mountain cranberry",cowberry
"mountain cranberry",lingonberry
"wrist joint",wrist
"June 14","Flag Day"
"beef plant","beefsteak plant"
smoke,"roll of tobacco"
smoke,fastball
"mandarin orange",mandarin
"Mongolian race","Yellow race"
"June 21","summer solstice"
karabiner,carabiner
"June 24","Midsummer Day"
"Populus balsamifera","balsam poplar"
"June 29","Saints Peter and Paul"
doubter,skeptic
doubter,agnostic
"white-heart hickory",mockernut
"Rhamnus carolinianus","Carolina buckthorn"
hermit,anchorite
"accounting system",accounting
"Microstomus kitt","lemon sole"
"moving ridge",wave
pichiciego,pichiciago
stymy,stymie
"Fringilla montifringilla",brambling
stricture,stenosis
"abstract entity",abstraction
"Lasiurus borealis","red bat"
"fair sex",womanhood
ergocalciferol,"vitamin D"
"embryonal carcinosarcoma",blastoma
"lacewing fly",lacewing
style,manner
style,"expressive style"
style,vogue
style,dash
style,stylus
handle-bars,mustachio
"beaver fur",beaver
fragment,shard
cyberwar,cyber-terrorism
"trash barrel",ashcan
"witch's brew","witches' brew"
diadem,crown
"motion picture",movie
jumpiness,jitteriness
comradeship,chumminess
sanguification,hematopoiesis
"Schmidt camera","Schmidt telescope"
"Crotalus mitchellii","speckled rattlesnake"
"outer boundary",periphery
miscue,slip
peignoir,negligee
smock,duster
"greylag goose",greylag
"painted tortoise","painted turtle"
"Peperomia sandersii","watermelon begonia"
creation,initiation
creation,universe
"grappling hook",grapnel
"motor nerve fiber","motor neuron"
"Ulmus parvifolia","Chinese elm"
sleeplessness,wakefulness
toothpowder,"tooth powder"
"Flacourtia indica","governor's plum"
"common reed","ditch reed"
"magnetic dip",dip
"vena lacrimalis","lacrimal vein"
"medical prognosis",prognosis
nanism,dwarfism
patronage,backing
patronage,clientele
patronage,condescension
patronage,trade
"paramilitary organisation",paramilitary
"wall painting",mural
fuzee,fusee
fuzee,fuse
"correlational statistics",correlation
intercessor,mediator
coddler,pamperer
"alcohol radical","alcohol group"
"Roccus saxatilis","striped bass"
androgeny,androgenesis
tuffet,footstool
"woolly thistle","cotton thistle"
gillie,ghillie
"dirty laundry","dirty linen"
"Alosa sapidissima","common American shad"
"monoblastic leukaemia","monocytic leukemia"
whistleblower,"whistle blower"
"Samolus floribundus",brookweed
"human beings",world
breadth,width
ubiquitousness,ubiquity
"piping crow-shrike","piping crow"
thankfulness,gratefulness
"smoothing plane","smooth plane"
"Avene sterilis","wild red oat"
angleworm,earthworm
narration,narrative
spleen,irascibility
"Andropogon scoparius","broom beard grass"
"Cottrell precipitator",precipitator
"living rock","living granite"
misconstruction,misconstrual
idolization,adoration
oesophagus,esophagus
hagiographist,hagiographer
topminnow,swordtail
"calcium-channel blocker","calcium blocker"
harvest,crop
"vermiform appendix",appendix
"Matricaria matricarioides","pineapple weed"
anteriority,priority
"storage allocation",allocation
"Anas americana","American widgeon"
"Areca catechu","betel palm"
"mortgage loan","real estate loan"
cyanamid,cyanamide
"Salvia reflexa","blue sage"
"blowing gas","blow gas"
"Micropterus salmoides",largemouth
program,plan
program,broadcast
program,platform
program,"course of study"
"supraorbital torus","supraorbital ridge"
yesteryear,past
batholite,batholith
"Lathyrus palustris","marsh pea"
"return on investment","return on invested capital"
"lemon rind","lemon peel"
work-clothes,work-clothing
rethink,reconsideration
ranting,harangue
"pectoral medallion",pectoral
podsol,podzol
"OTC security","unlisted security"
impossibleness,impossibility
float,"ice-cream soda"
float,"air bladder"
"conducting wire",wire
cimarron,bighorn
jack-o'-lantern,"friar's lantern"
"Penstemon davidsonii","Davidson's penstemon"
"homeless person",homeless
"domesticated animal","domestic animal"
cowpoke,cowboy
"Diospyros lotus","date plum"
sterilizer,autoclave
love-philtre,philter
analphabetic,analphabet
phonograph,"record player"
grandaunt,great-aunt
"Trillium sessile","red trillium"
trumpery,folderol
trumpery,folderal
overrating,overestimate
"stun baton","stun gun"
inaugural,"inaugural address"
inaugural,inauguration
"vena intercostalis","intercostal vein"
"August plum","American red plum"
lensman,photographer
trumpets,"huntsman's horn"
flock,batch
flock,troop
"tea towel",dishtowel
"acoustic spectrum","sound spectrum"
cental,hundredweight
"grass parakeet",budgerigar
"Nymphaea stellata","blue lotus"
"candy store",confectionery
"sterling bloc","sterling area"
"Castanea mollissima","Chinese chestnut"
tomfool,fool
"Cuban sandwich",bomber
"external auditory canal","auditory meatus"
succour,relief
screeching,screech
screeching,scream
motorway,expressway
pipul,pipal
securer,procurer
"Glycyrrhiza glabra",licorice
"Hydrocharis morsus-ranae",frogbit
"Syzygium aromaticum",clove
holloa,bellow
costumer,costumier
"phone booth","telephone booth"
snippet,snip
"Pholiota nameko",nameko
"scoop shovel",scoop
successfulness,prosperity
hollow,hole
"Serranus subligarius","belted sandfish"
meatloaf,"meat loaf"
"dry run",rehearsal
succory,chicory
"Midsummer's Day","Midsummer Day"
pussly,"common purslane"
"Poinciana pulcherrima","pride of barbados"
flood,"flood tide"
"Echeneis naucrates",sharksucker
"weather eye",watchfulness
crematorium,crematory
"black bindweed","black bryony"
retentiveness,memory
"Calamintha grandiflora","large-flowered calamint"
"common carrier",carrier
expansivity,"coefficient of expansion"
expansivity,expansiveness
expansivity,effusiveness
paucity,dearth
temporalis,"temporalis muscle"
"bed covering",bedspread
"basal body temperature method","basal body temperature method of family planning"
building,construction
falsehood,falsification
giver,donor
"Ulmus hollandica vegetata","Huntingdon elm"
"barley candy",barley-sugar
"Cystophora cristata","hooded seal"
"Persian lilac",chinaberry
primula,primrose
"printing machine",printer
excavator,"power shovel"
"Quercus phellos","willow oak"
"pumping station","pump house"
"selling price","asking price"
"Ximenesia encelioides","cowpen daisy"
tourniquet,"compression bandage"
"decline in quality",deterioration
"English hawthorn",whitethorn
"golden fairy lantern","yellow globe lily"
"prairie sage","western mugwort"
pisanosaurus,pisanosaur
"yellow ironweed",wingstem
gladiola,gladiolus
"quarter round",ovolo
"intermittent tetanus",tetany
"Fagus sylvatica","common beech"
shaper,maker
modifier,changer
failure,bankruptcy
"mountain tea",teaberry
"ground noise","background noise"
"personal organiser","personal digital assistant"
sawbill,merganser
love-philter,philter
inebriety,drunkenness
"Satureja montana","winter savory"
"Crocodylus porosus","Asian crocodile"
crater,"volcanic crater"
"wild emmer","wild wheat"
"crybaby tree",ceibo
"gorgonian coral",gorgonian
kind-heartedness,kindheartedness
"violent stream",torrent
gigacycle,gigahertz
"Paranthias furcifer",creole-fish
jointure,union
"facial recognition","face recognition"
"Convallaria majalis","lily of the valley"
matrikin,enate
"mortise joint",ankle
evaporometer,atmometer
"Dipsacus sylvestris","wild teasel"
mintage,coinage
seamstress,dressmaker
"legal philosophy",jurisprudence
"all-terrain bike","mountain bike"
enclosing,enclosure
"social reformer",reformer
"measuring rod","measuring stick"
"Artemisia ludoviciana","western mugwort"
"Diodora apertura","keyhole limpet"
stringency,strictness
reflexive,"reflexive pronoun"
"Amygdalus communis",almond
"existential operator","existential quantifier"
"sun rose",helianthemum
sickness,illness
sickness,nausea
"musculus serratus posterior","posterior serratus muscle"
ornamentation,decoration
"Lates calcarifer",barramundi
"piano accordion",accordion
"mass meeting",rally
affair,matter
"Ardisia paniculata",marlberry
nozzle,beak
libber,feminist
burunduki,baronduki
"Habenaria hookeri","Hooker's orchid"
secretariate,secretariat
yobibyte,yottabyte
"Tel Aviv-Yalo","Tel Aviv"
"lactase deficiency","lactose intolerance"
nightrider,"night rider"
"Cardamine diphylla",crinkleroot
tutorship,tutelage
rancour,resentment
potentiality,potential
potentiality,capability
"supporting players",ensemble
"saturniid moth",saturniid
review,reappraisal
review,follow-up
review,revue
review,recapitulation
review,inspection
"vena gastroomentalis","gastroomental vein"
"natural language processing application","natural language processor"
haick,haik
"Rubus canadensis","American dewberry"
"Crambe maritima","sea kale"
reflexion,reflection
reflexion,expression
reflexion,observation
reflexion,contemplation
reflexion,"mirror image"
"nymphalid butterfly",nymphalid
squirmer,wiggler
"Veronica chamaedrys","germander speedwell"
"Equus quagga",quagga
dread,apprehension
sadness,gloominess
"type O",O
"lieutenant JG","lieutenant junior grade"
matureness,maturity
"Castanea crenata","Japanese chestnut"
"car loan","automobile loan"
"vena pylorica","prepyloric vein"
"pomme blanche",breadroot
"Columba palumbus","wood pigeon"
"gospel truth",gospel
"type A",A
illegitimacy,bastardy
"type B",B
"pizza pie",pizza
"bon ton",society
"alpine hulsea","alpine gold"
impairment,damage
impairment,deterioration
impairment,disability
impairment,stultification
niggardness,meanness
"Mentha suaveolens","apple mint"
"Rana cascadae","cascades frog"
"geometrical irregularity",irregularity
"paper rush",papyrus
breeze,cinch
"purl stitch",purl
"material body","human body"
"Homarus americanus","American lobster"
banner,streamer
banner,standard
"white-stemmed filaree","musk clover"
propitiousness,auspiciousness
"Citellus richardsoni",flickertail
"nickel-cadmium accumulator",nicad
myeline,myelin
cease-fire,armistice
"Lonicera japonica","Japanese honeysuckle"
"poker chip",chip
"Calochortus amabilis","yellow globe lily"
"Gastrophryne olivacea","western narrow-mouthed toad"
helpfulness,kindliness
"sinus ethmoidales","ethmoid sinus"
"dive brake",airbrake
"cooking pan",pan
commuting,commutation
spiritlessness,apathy
long-windedness,prolixity
squalor,sordidness
clanswoman,clansman
"canoe birch","American white birch"
"false garlic","crow garlic"
"knee-jerk reflex","knee jerk"
"capillary tubing",capillary
"Santa Maria tree",calaba
boundlessness,infiniteness
"marabou stork",marabou
instalment,episode
instalment,installment
instalment,installation
"light bread","white bread"
"natural event",happening
"macrocytic anaemia","macrocytic anemia"
"eastern spruce","red spruce"
unlikeliness,unlikelihood
"con artist","confidence man"
dichromia,dichromacy
"Oxylebius pictus","painted greenling"
"ragged orchis","ragged orchid"
"plasmid DNA",plasmid
shaving,shave
shaving,paring
shaving,grazing
adage,proverb
addlehead,addle-head
amberfish,amberjack
"all-day sucker",lollipop
"yellow fever","yellow jack"
holler,bellow
holler,hollow
rosebush,rose
"Brachychiton acerifolius","flame tree"
dyarchy,diarchy
flora,vegetation
flora,plant
"principle of parsimony","Occam's Razor"
fidgetiness,fidget
inventory,stock
inventory,armory
"Cuminum cyminum",cumin
centre,center
centre,kernel
impassiveness,emotionlessness
"Ornithogalum thyrsoides",chincherinchee
needer,wanter
"Robert Edward Lee",Lee
assenting,accession
long-beard,bellarmine
"storage area","cargo area"
"snow bank",snowbank
floss,"dental floss"
self-assurance,assurance
quartette,quartet
"lee side",lee
"spring heath","winter heath"
"antiemetic drug",antiemetic
"straw foxglove","yellow foxglove"
"leguminous plant",legume
"western yew","Pacific yew"
falanga,bastinado
"gas jet","gas burner"
proclamation,announcement
"nude statue",nude
salmonberry,cloudberry
"slop bowl","slop basin"
"botanical medicine",phytotherapy
center,"center field"
center,kernel
antilog,antilogarithm
"wind exposure",windage
"Salvinia rotundifolia",floating-moss
"Platystemon californicus",creamcups
noontide,noon
"alcoholic beverage",alcohol
"third cranial nerve",oculomotor
record,"phonograph record"
record,"criminal record"
"Bouteloua eriopoda","black grama"
usurpation,trespass
solfege,solmization
"arteria labialis inferior","inferior labial artery"
allayer,reliever
temporalty,laity
"areteria cervicalis","cervical artery"
"church mode","ecclesiastical mode"
chilblains,chilblain
"trigeminal nerve",trigeminal
"magnifying glass","hand glass"
"Ophrys sphegodes","early spider orchid"
"ellipsoid of revolution",spheroid
"emery rock","emery stone"
"left stage","stage left"
impact,impingement
impact,shock
intermarriage,exogamy
intermarriage,endogamy
webpage,"web page"
budgie,budgerigar
pushiness,bumptiousness
"executive program","supervisory program"
culprit,perpetrator
"canebrake rattler","canebrake rattlesnake"
phenylethylene,styrene
"wire gage","wire gauge"
"queen of the May","May queen"
"public prosecutor",prosecutor
"raptorial bird","bird of prey"
mouldboard,moldboard
"river bottom",riverbed
"Rumex obtusifolius","bitter dock"
"submersible warship",submersible
insurrectionist,insurgent
"brain trust","kitchen cabinet"
"Riemannian geometry","elliptic geometry"
"Cypripedium fasciculatum","clustered lady's slipper"
"anal intercourse",sodomy
"drinking straw",straw
vignette,sketch
"smoked haddock","finnan haddie"
"pes planus",flatfoot
priority,precedence
"Anthemis arvensis","corn chamomile"
"Juncus bufonius","toad rush"
vibrissa,whisker
mistress,schoolmarm
"goose plum","American red plum"
embouchure,mouthpiece
coral-wood,coralwood
"gum anime",anime
"virgin birth",parthenogenesis
enterobacteria,"enteric bacteria"
going-over,castigation
shandy,shandygaff
cosmographist,cosmographer
decimalisation,decimalization
"Vaccinium angustifolium","low-bush blueberry"
aquatics,"water sport"
liability,indebtedness
roster,roll
"Martynia arenaria","sand devil's claw"
"Diervilla sessilifolia","bush honeysuckle"
"Begonia cheimantha","Christmas begonia"
"pleomorphic rhabdosarcoma","pleomorphic rhabdomyosarcoma"
"political economy",economics
ascetic,abstainer
"Lychins floscuculi","ragged robin"
"good sense","common sense"
"centre stage","center stage"
"Zannichellia palustris","horned pondweed"
decision,decisiveness
"fringed polygala","flowering wintergreen"
"Haplopappus acaulis","stemless golden weed"
sealing,waterproofing
djinn,genie
"Dryopteris filix-mas","male fern"
"tibialis posterior","tibialis posticus"
"antianxiety drug","minor tranquilizer"
"Encyclia venosa","butterfly orchid"
"Macaca irus","crab-eating macaque"
"cardiac arrest",asystole
elevated,"elevated railway"
"Prunus serrulata","oriental cherry"
dawah,da'wah
"snake eyes",craps
cutoff,shortcut
lacepod,fringepod
flavoursomeness,flavorsomeness
"field of study",discipline
zealotry,fanaticism
"Thuja orientalis","Oriental arborvitae"
"Caiman sclerops","spectacled caiman"
bowdleriser,expurgator
coliseum,amphitheater
"Pecten magellanicus","sea scallop"
"myeloid leukemia","chronic myelocytic leukemia"
"hero sandwich",bomber
inclining,inclination
"second power",square
"mass rapid transit","rapid transit"
topaz,tan
"wise man",mentor
"Stizostedion vitreum",walleye
"Anasa tristis","squash bug"
hackamore,halter
"Rosa odorata","tea rose"
"Capsicum annuum cerasiforme","cherry pepper"
"Louis the Wideawake","Louis VI"
"Acacia dealbata","silver wattle"
fetish,juju
"haptic sensation","cutaneous sensation"
topee,"pith hat"
ascesis,asceticism
oldtimer,veteran
oldtimer,old-timer
"gaff-headed sail",gaffsail
mishmash,"odds and ends"
"snapping beetle","click beetle"
"Capsella bursa-pastoris","shepherd's purse"
"Woodsia alpina","Alpine woodsia"
attempt,attack
"postage stamp",postage
moo-cow,cow
"Gaultheria procumbens",teaberry
"stone fly",stonefly
"Lynx pardina","spotted lynx"
"vinyl resin","vinyl polymer"
"closed-class word","function word"
toper,drinker
shanty,hovel
shanty,chantey
"Zoysia tenuifolia","mascarene grass"
"Austrotaxus spicata","New Caledonian yew"
"Turdus viscivorus","missel thrush"
"light speed","speed of light"
"mastoid process",mastoid
"Saint Vitus dance","Sydenham's chorea"
"minimal art",minimalism
carbon,"carbon paper"
"arteria metacarpea","metacarpal artery"
topic,subject
"higher status",seniority
unsimilarity,dissimilarity
"religious sect",sect
"petroleum future","oil future"
scammonyroot,"wild potato vine"
"talker identification","speaker identification"
"Fossa fossa",fanaloka
"mystery story",mystery
"northern oak fern","limestone fern"
"computer memory",memory
trefoil,medic
trefoil,clover
"phobic neurosis",phobia
four-in-hand,coach
artistry,art
"ugli fruit",tangelo
"Ciconia nigra","black stork"
lawmaker,lawgiver
"anatomical sphincter",sphincter
"elevator car",car
unguent,ointment
"vena rectalis","hemorrhoidal vein"
disablement,disability
ventail,camail
"Philomachus pugnax",ruff
trachodont,trachodon
"tow-headed snake","rubber boa"
pointlessness,inanity
"dance of death","danse macabre"
"corpuscular-radiation pressure","radiation pressure"
"firing mechanism",gunlock
botheration,irritation
botheration,annoyance
noise,randomness
"stepping down",abdication
philologue,philologist
"ultramarine blue",ultramarine
sustentation,sustenance
"fencer's mask","fencing mask"
proportionateness,commensurateness
wilting,wilt
"laurel oak","shingle oak"
"high water","high tide"
"turpentine weed",rabbitweed
aerophyte,"air plant"
kinsperson,kin
"imaginary part of a complex number","imaginary part"
"elkhorn fern","common staghorn fern"
"Paspalum dilatatum",dallisgrass
"grand theft","grand larceny"
leotards,tights
garget,poke
shekels,boodle
"thatched roof",thatch
"privet andromeda",maleberry
panocha,penuche
talker,speaker
plentitude,plenty
panoche,penuche
"Erigeron canadensis",horseweed
fleece,sheepskin
fleece,wool
girandola,girandole
"angiotensin-converting enzyme inhibitor","ACE inhibitor"
myringa,eardrum
"Mustela nivalis","Old World least weasel"
bastard,asshole
bed-ground,"bed ground"
self-loader,autoloader
"free fall",drop
"desert lynx",caracal
"modifier gene",modifier
"monarch butterfly",monarch
talkie,"talking picture"
dimension,property
dimension,proportion
"department of chemistry","chemistry department"
"unwelcome guest",gatecrasher
sealskin,seal
"coefficient of absorption","absorption coefficient"
tatter,rag
"old woman","dusty miller"
"medical record","medical history"
"working person",workman
"booted armillaria","Armillaria caligata"
"Celtis australis","European hackberry"
seclusion,privacy
gosan-chiku,"fishpole bamboo"
"Hollerith card","punched card"
"probate will",probate
accommodation,adjustment
"suppresser gene",suppressor
"missionary station",mission
"theatre of operations",field
polytonalism,polytonality
legibility,discernability
alcahest,alkahest
vetchworm,"corn earworm"
"pigeon-pea plant","pigeon pea"
"elementary school","grade school"
"school of dentistry","dental school"
"coffee cappuccino",cappuccino
"elevator boy","elevator man"
"lancet fish",lancetfish
"Xenorhyncus asiaticus","policeman bird"
"speech sound",phone
"Acer circinatum","vine maple"
"full dress","dress suit"
"Iris xiphium","Spanish iris"
"state of mind","cognitive state"
"Gallinula chloropus",moorhen
carack,carrack
"white leg","milk leg"
"Christ thorn","crown of thorns"
"basset hound",basset
piece,part
piece,"musical composition"
piece,firearm
piece,"objet d'art"
piece,while
piece,slice
"Centranthus ruber","red valerian"
"think factory","think tank"
"ilama tree",ilama
callosity,unfeelingness
"great white hope","white hope"
offensive,offense
shamus,"private detective"
"turnip cabbage",rutabaga
"turnip cabbage",kohlrabi
